tweet_id,favorite_count,retweet_count
892420643555336193,36556,7785
892177421306343426,31488,5765
891815181378084864,23738,3816
891689557279858688,39881,7955
891327558926688256,38084,8589
891087950875897856,19158,2869
890971913173991426,11161,1880
890729181411237888,61640,17377
890609185150312448,26395,3954
890240255349198849,30174,6766
890006608113172480,29039,6758
889880896479866881,26389,4603
889665388333682689,45487,9223
889638837579907072,25615,4141
889531135344209921,14312,2080
889278841981685760,23838,4923
888917238123831296,27562,4151
888804989199671297,24213,3925
888554962724278272,18707,3218
888078434458587136,20606,3193
887705289381826560,28593,4956
887517139158093824,43849,10832
887473957103951883,65184,16602
887343217045368832,31861,9637
887101392804085760,28980,5495
886983233522544640,33131,7085
886736880519319552,11365,2969
886680336477933568,21250,4114
886366144734445568,20010,2920
886267009285017600,113,4
886258384151887873,26498,5815
886054160059072513,0,100
885984800019947520,30833,6195
885528943205470208,34043,5888
885518971528720385,19379,3443
885311592912609280,0,17095
885167619883638784,20734,4032
884925521741709313,73101,16695
884876753390489601,26372,5154
884562892145688576,22998,4335
884441805382717440,25597,5244
884247878851493888,68907,18772
884162670584377345,19312,2761
883838122936631299,20678,3180
883482846933004288,43408,9107
883360690899218434,21488,3420
883117836046086144,35130,6116
882992080364220416,22621,3592
882762694511734784,26771,4512
882627270321602560,26478,5601
882268110199369728,42484,10694
882045870035918850,27759,4517
881906580714921986,23040,3130
881666595344535552,47920,9856
881633300179243008,120,7
881536004380872706,46823,14735
881268444196462592,21960,4844
880935762899988482,16152,2575
880872448815771648,20159,3530
880465832366813184,27000,5755
880221127280381952,25570,3851
880095782870896641,26168,4006
879862464715927552,21175,3232
879674319642796034,297,10
879492040517615616,22238,2941
879415818425184262,100216,41029
879376492567855104,15922,2895
879130579576475649,0,6280
879050749262655488,21365,4323
879008229531029506,17997,2479
878776093423087618,18355,3778
878604707211726852,28580,6584
878404777348136964,0,1192
878316110768087041,0,6166
878281511006478336,7329,1192
878057613040115712,39895,6280
877736472329191424,75306,17526
877611172832227328,0,74
877556246731214848,21531,3528
877316821321428993,25983,4799
877201837425926144,25698,5172
876838120628539392,19618,3088
876537666061221889,22406,4334
876484053909872640,17818,2204
876120275196170240,26554,4322
875747767867523072,23884,3961
875144289856114688,20787,4555
875097192612077568,26065,5634
875021211251597312,24197,4387
874680097055178752,26414,4291
874434818259525634,0,13492
874296783580663808,24739,3812
874057562936811520,21585,3688
874012996292530176,32671,9557
873580283840344065,23034,3648
873337748698140672,0,1482
873213775632977920,6815,1482
872967104147763200,25983,5050
872820683541237760,14032,3459
872620804844003328,19747,3401
872486979161796608,38808,8412
872122724285648897,32720,7543
871879754684805121,35919,10284
871762521631449091,19311,3248
871515927908634625,19241,3243
871166179821445120,0,5339
871102520638267392,19977,5156
871032628920680449,21700,3578
870804317367881728,32131,5799
870726314365509632,117,3
870656317836468226,11828,2474
870374049280663552,79216,24775
870308999962521604,20919,3882
870063196459192321,34964,7799
869772420881756160,40660,9474
869702957897576449,27025,5924
869596645499047938,15294,2935
869227993411051520,19552,3560
868880397819494401,62702,13567
868639477480148993,0,1953
868622495443632128,25579,4985
868552278524837888,9674,1953
867900495410671616,23233,3941
867774946302451713,32603,6939
867421006826221569,15455,2349
867072653475098625,0,115
867051520902168576,30941,7433
866720684873056260,19267,4530
866686824827068416,18541,3286
866450705531457537,117552,33323
866334964761202691,50427,13492
866094527597207552,0,7934
865718153858494464,24700,5323
865359393868664832,25490,4739
865006731092295680,26992,7292
864873206498414592,31099,8251
864279568663928832,14054,2864
864197398364647424,28949,8416
863907417377173506,19869,3929
863553081350529029,14739,3984
863471782782697472,0,2313
863432100342583297,22985,4986
863427515083354112,2145,91
863079547188785154,8475,1054
863062471531167744,8175,2313
862831371563274240,18535,4898
862722525377298433,16515,3372
862457590147678208,19774,4701
862096992088072192,71900,22111
861383897657036800,34925,10239
861288531465048066,16620,3954
861005113778896900,16168,3650
860981674716409858,0,2053
860924035999428608,0,770
860563773140209665,7274,2053
860524505164394496,22905,5078
860276583193509888,17798,3347
860184849394610176,16174,5605
860177593139703809,0,29653
859924526012018688,18987,3931
859851578198683649,14980,3368
859607811541651456,18072,1498
859196978902773760,87362,28959
859074603037188101,32897,13106
858860390427611136,0,7823
858843525470990336,15147,3358
858471635011153920,20929,4671
858107933456039936,15341,2803
857989990357356544,15673,2502
857746408056729600,33374,10247
857393404942143489,5746,1585
857263160327368704,19550,4366
857214891891077121,219,17
857062103051644929,0,164
857029823797047296,18434,3863
856543823941562368,15956,2791
856526610513747968,11585,1815
856330835276025856,0,648
856288084350160898,506,15
856282028240666624,27157,6108
